WELL,I,J,K,DEPTH,PROPERTY,COST,WWCT_cost,WOPR_cost,WSWP_cost,WGPR_cost,class_
BEGJP939,95,305,7,3485.63,WSWP,37212.36126708984,1451.0602302253244,89197.13385868073,37212.36126708984,22989.42607939244,2
BEGJP931,99,316,5,3522.21,WSWP,31375.40869140625,105.01754284324123,209.37224787473681,31375.40869140625,44712.23641386628,2
BEGJP882,98,630,3,3939.55,WSWP,56476.12326049805,694.1216006278993,112689.65141105652,56476.12326049805,72384.60770368855,2
BEGJP933,106,229,3,3792.1,WSWP,88903.84606933594,223.4409359849524,13697.511456012728,88903.84606933594,89403.21107548475,2
BEGJP932,87,278,7,3504.2,WSWP,64775.238586425774,81.67466186208185,7837.110107421875,64775.238586425774,93571.98199164867,2
BEGJP92P,108,246,1,3734.45,WSWP,55599.987548828125,217.8984223362058,15851.339721679688,55599.987548828125,64193.36406621338,2
BEGJP818,103,648,4,3934.52,WSWP,73721.52703857423,929.1595687866212,37951.96230697632,73721.52703857423,59948.396414477844,2
BEGJP928,115,344,2,3708.91,WSWP,54266.19549560547,1380.9621782151514,109580.54179382324,54266.19549560547,60446.37846174091,2
BEGJP925,102,240,4,3717.52,WSWP,53831.1953125,652.3241662979126,37555.58058706672,53831.1953125,38044.93719549105,2
BEGJP921,94,292,1,3474.95,WSWP,41460.20007324219,3251.576230021193,199224.75115275386,41460.20007324219,8624.788665890695,2
BEGJP928,115,297,3,3734.57,WSWP,54342.045166015625,1011.4086395616176,54903.40060424805,54342.045166015625,44384.38286855073,2
BEGJP522,117,470,1,3772.0,WSWP,80340.599609375,1260.812437861925,83433.71362304688,80340.599609375,63116.06035542896,2
BEGJP9P3,123,87,1,3824.35,WSWP,75216.3046875,127.08293101144956,13461.828826904297,75216.3046875,51656.46521990001,2
BEGJP811,129,853,8,4061.51,WSWP,95109.96716308594,716.7213311195374,50625.99200344086,95109.96716308594,53139.39925427736,2
BEGJP813,84,608,2,3908.9,WSWP,24725.34045410156,301.9719945192337,11040.055653572084,24725.34045410156,7595.831625580789,2
BEGJP199,153,506,1,4227.49,WSWP,170217.06323242188,0.0,0.0,170217.06323242188,0.0,0
BEGJP295,108,81,221,4635.99,WSWP,94261.7392578125,0.0,0.0,94261.7392578125,0.0,0
BEGJP291,138,59,221,4658.5,WSWP,68475.73706054688,0.0,0.0,68475.73706054688,0.0,0
BEGJP21P,41,342,11,4228.58,WSWP,179343.62915039062,0.0,0.0,179343.62915039062,0.0,0
BEGJP22P,20,482,1,4206.95,WSWP,172072.60229492188,0.0,0.0,172072.60229492188,0.0,0
BEGJP929,94,269,11,3556.39,WSWP,48572.621154785156,101.70047480729409,11134.22818803787,48572.621154785156,70386.3803434372,2
BEGJP222,30,467,212,4174.09,WSWP,132127.87133789062,0.0,0.0,132127.87133789062,0.0,0
BEGJP882,83,431,235,4079.34,WSWP,94044.58532714844,0.0,0.0,94044.58532714844,0.0,0
BEGJ9P92,36,484,20,3412.07,WSWP,87510.43090820312,0.0,0.0,87510.43090820312,0.0,0
BEGJP129,94,560,5,3699.84,WSWP,24972.646728515625,399.14842034317553,888.099928855896,24972.646728515625,1797.8380284323941,2
BEGJP188,45,578,20,3501.92,WSWP,43818.59375,314.6257108245045,3033.815860629081,43818.59375,17633.674871146686,2
BEGJP181,104,518,9,3688.03,WSWP,32963.419494628906,0.0,0.0,32963.419494628906,0.0,0
BEGJP555,110,501,4,3722.4,WSWP,28402.10076904297,4.55849875882268,84.11065673828125,28402.10076904297,6696.1002309024325,2
BEGJP852,56,575,224,3972.24,WSWP,54762.24865722656,109.67998400330544,1689.9038772583008,54762.24865722656,541.5595675893128,1
BEGJP552,139,443,7,4074.32,WSWP,60638.0234375,77.53077697753906,6248.468791842461,60638.0234375,1649.789788417518,2
BEGJP553,138,459,5,4030.06,WSWP,58723.169677734375,0.0,0.0,58723.169677734375,0.0,0
BEGJP888,87,298,1,3420.47,WSWP,25774.827087402344,157.1205693644006,2514.5871124267583,25774.827087402344,30573.490394999284,2
BEGJP991,124,63,229,4485.54,WSWP,63706.7041015625,165.96835445043808,5009.7885744571695,63706.7041015625,1630.3450145944953,1
BEGJ9P91,88,301,217,4043.5,WSWP,45422.28869628906,0.0,0.0,45422.28869628906,0.0,0
BEGJP922,117,373,1,3728.03,WSWP,23779.774169921875,281.53270856151363,6586.035400390625,23779.774169921875,19972.617600202557,2
BEGJP119,66,582,22,3600.65,WSWP,36282.697509765625,534.5299190881196,25331.35577392578,36282.697509765625,8251.529384478927,2
BEGJP158,54,595,236,4203.36,WSWP,49940.84240722656,0.0,0.0,49940.84240722656,0.0,0
BEGJP51P,135,484,9,3967.17,WSWP,42032.06982421875,171.28528213500974,15389.873942375183,42032.06982421875,6008.844134166837,2
BEGJP128,95,574,3,3761.56,WSWP,17369.296447753906,76.38650294439867,1449.51469540596,17369.296447753906,6970.199586033821,2
BEGJP113,96,585,4,3817.64,WSWP,15502.275817871094,90.52639706619085,615.1937408447267,15502.275817871094,6135.517847299577,2
BEGJP183,106,526,22,3728.73,WSWP,20852.53466796875,0.0,0.0,20852.53466796875,0.0,0
BEGJP938,114,333,1,3712.13,WSWP,32804.39587402344,0.0,0.0,32804.39587402344,0.0,0
